no,x,y,z,begin
41,0.54287,-0.0793658,0.0261756,normal
42,0.528557,-0.0374897,0.00902268,normal
43,0.521029,-0.156168,-0.0412503,normal
44,0.537994,-0.138633,-0.0407648,normal
45,0.533231,-0.0251059,-0.0369051,normal
46,0.507829,-0.158245,-0.0937935,normal
47,0.533442,-0.140728,-0.0943761,normal
48,0.536145,-0.0133851,-0.0826529,normal
49,0.545025,-0.131528,-0.119644,normal
no,x,y,z,end
no,x,y,z,begin
0,0.915828,-0.277012,-0.0100418,normal
1,0.917721,-0.258224,-0.0105477,normal
2,0.912438,-0.275674,-0.025389,normal
3,0.915964,-0.263897,-0.0214259,normal
4,0.911425,-0.281139,-0.011284,normal
5,0.890613,-0.239295,-0.00653824,normal
6,0.880961,-0.221229,-0.00795563,normal
7,0.889178,-0.247199,-0.0225451,normal
8,0.775221,-0.436812,-0.0535531,normal
9,0.777658,-0.429122,-0.0498949,normal
10,0.774966,-0.406586,-0.0746257,normal
11,0.764103,-0.43983,-0.0620341,normal
12,0.764415,-0.410975,-0.0659829,normal
13,0.769222,-0.385587,-0.0654581,normal
14,0.754061,-0.447343,-0.0738499,normal
15,0.764658,-0.407379,-0.072148,normal
16,0.513776,0.467154,0.540064,normal
17,0.510408,0.469066,0.51982,normal
18,0.547884,-0.0723071,0.0342654,normal
19,0.55197,-0.106793,-0.00579655,normal
20,0.555795,-0.0755917,0.00496422,normal
21,0.547861,-0.0465815,-0.0048999,normal
22,0.556259,-0.112962,-0.0436996,normal
23,0.5701,-0.0751399,-0.0427038,normal
24,0.555407,-0.0397525,-0.0461472,normal
25,0.559217,-0.114018,-0.0907209,normal
26,0.580516,-0.0754662,-0.0873769,normal
27,0.563686,-0.031221,-0.0902099,normal
28,0.55039,-0.12543,-0.120292,normal
29,0.551351,-0.0529535,-0.119409,normal
30,0.559791,-0.0409944,-0.119952,normal
31,0.482586,0.468855,0.54643,normal
32,0.480992,0.47067,0.50715,normal
33,0.468086,0.484061,0.476585,normal
34,0.457528,0.493813,0.467638,normal
35,0.499008,-0.0862972,0.185698,normal
36,0.505604,-0.111854,0.144222,normal
37,0.505984,-0.0817087,0.155332,normal
38,0.496939,-0.0521364,0.141533,normal
39,0.516437,-0.113907,0.105257,normal
40,0.520891,-0.0794613,0.107264,normal
41,0.50437,-0.04825,0.104194,normal
42,0.530323,-0.117561,0.0555011,normal
43,0.536623,-0.0784992,0.0577665,normal
44,0.516243,-0.0426269,0.0559877,normal
45,0.539724,-0.122964,0.0080613,normal
46,0.543081,-0.0849994,0.0250708,normal
47,0.528415,-0.0370688,0.00911799,normal
48,0.514591,-0.157123,-0.0529515,normal
49,0.537076,-0.138519,-0.0411351,normal
50,0.532177,-0.0246026,-0.0376377,normal
51,0.507518,-0.157751,-0.0892202,normal
52,0.53197,-0.139951,-0.0942084,normal
53,0.532415,-0.0116827,-0.0875968,normal
54,0.544304,-0.132133,-0.119652,normal
no,x,y,z,end
no,x,y,z,begin
0,0.914168,-0.276555,-0.0140351,normal
1,0.922835,-0.257747,-0.00176959,normal
2,0.882827,0.247011,-0.0010187,normal
3,0.915363,-0.264516,-0.0214,normal
4,0.875565,0.249876,-0.0204334,normal
5,0.910898,-0.275833,-0.0151117,normal
6,0.910639,-0.274437,-0.0153297,normal
7,0.868012,0.24923,-0.0137877,normal
8,0.513346,0.467236,0.540134,normal
9,0.509907,0.469141,0.520795,normal
10,0.547635,-0.0720909,0.0344151,normal
11,0.551856,-0.10676,-0.00661148,normal
12,0.555932,-0.0759227,0.00484085,normal
13,0.548178,-0.0462532,-0.00590658,normal
14,0.55604,-0.112743,-0.0437632,normal
15,0.569923,-0.075056,-0.04271,normal
16,0.55569,-0.0397749,-0.0460226,normal
17,0.558948,-0.114484,-0.0901913,normal
18,0.579883,-0.0758546,-0.0867268,normal
19,0.562418,-0.0295402,-0.0885594,normal
20,0.550333,-0.12472,-0.120589,normal
21,0.51187,0.419233,-0.154578,normal
22,0.483472,0.469398,0.548822,normal
